gene,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Abl1,Q3TM13,Q3TM13_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Abl1,Mus musculus (Mouse),368
Abl1,Q3V2W1,Q3V2W1_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Abl1,Mus musculus (Mouse),368
Abl1,Q61262,Q61262_MOUSE,unreviewed,Uncharacterized protein,Abl1,Mus musculus (Mouse),163
Abl1,Q8CAT4,Q8CAT4_MOUSE,unreviewed,Uncharacterized protein,Abl1,Mus musculus (Mouse),163
Abl2,A0A087WQB7,A0A087WQB7_MOUSE,unreviewed,Tyrosine-protein kinase ABL2 (Fragment),Abl2,Mus musculus (Mouse),269
Abl2,B2RQ57,B2RQ57_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Abl2,Mus musculus (Mouse),1078
Abl2,B7ZMZ2,B7ZMZ2_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Abl2,Mus musculus (Mouse),1078
Abl2,F8VQH0,F8VQH0_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Abl2,Mus musculus (Mouse),1182
Abl2,G3UWQ2,G3UWQ2_MOUSE,unreviewed,Tyrosine-protein kinase ABL2 (Fragment),Abl2,Mus musculus (Mouse),139
Abl2,Q4JIM5,ABL2_MOUSE,reviewed,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),Abl2 Arg,Mus musculus (Mouse),1182
Abl2,Q61055,Q61055_MOUSE,unreviewed,Protein tyrosine kinase (Fragment),Abl2 arg,Mus musculus (Mouse),376
Abl2,Q99P28,Q99P28_MOUSE,unreviewed,ARG (Fragment),Abl2 Arg,Mus musculus (Mouse),164
Acvr1,B1AW87,B1AW87_MOUSE,unreviewed,Activin receptor type-1 (Fragment),Acvr1,Mus musculus (Mouse),130
Acvr1,P37172,ACVR1_MOUSE,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I) (TSK-7L),Acvr1 Acvrlk2 Tgfb1,Mus musculus (Mouse),509
Acvr1,Q8C7A7,Q8C7A7_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvr1,Mus musculus (Mouse),451
Acvr1b,Q3TZF1,Q3TZF1_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvr1b,Mus musculus (Mouse),505
Acvr1b,Q61271,ACV1B_MOUSE,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),Acvr1b Alk4,Mus musculus (Mouse),505
Acvr1c,A2AJR5,A2AJR5_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvr1c,Mus musculus (Mouse),413
Acvr1c,A2AJR6,A2AJR6_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvr1c,Mus musculus (Mouse),336
Acvr1c,B7ZNG1,B7ZNG1_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment),Acvr1c,Mus musculus (Mouse),451
Acvr1c,D3Z1K2,D3Z1K2_MOUSE,unreviewed,Activin receptor type-1C (Fragment),Acvr1c,Mus musculus (Mouse),61
Acvr1c,Q3V348,Q3V348_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvr1c,Mus musculus (Mouse),363
Acvr1c,Q8K348,ACV1C_MOUSE,reviewed,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),Acvr1c Alk7,Mus musculus (Mouse),493
Acvr2a,A2AI38,A2AI38_MOUSE,unreviewed,Serine/threonine-protein kinase receptor (EC 2.7.11.30),Acvr2a,Mus musculus (Mouse),513
Acvr2a,P27038,AVR2A_MOUSE,reviewed,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA),Acvr2a Acvr2,Mus musculus (Mouse),513
Acvr2a,Q8BRV4,Q8BRV4_MOUSE,unreviewed,Serine/threonine-protein kinase receptor (EC 2.7.11.30),Acvr2a Acvr2,Mus musculus (Mouse),513
Acvr2b,P27040,AVR2B_MOUSE,reviewed,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),Acvr2b,Mus musculus (Mouse),536
Acvrl1,D3YUY5,D3YUY5_MOUSE,unreviewed,Serine/threonine-protein kinase receptor R3 (Fragment),Acvrl1,Mus musculus (Mouse),76
Acvrl1,D3Z7H9,D3Z7H9_MOUSE,unreviewed,Serine/threonine-protein kinase receptor R3 (Fragment),Acvrl1,Mus musculus (Mouse),26
Acvrl1,Q61288,ACVL1_MOUSE,reviewed,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),Acvrl1 Acvrlk1 Alk-1,Mus musculus (Mouse),502
Acvrl1,Q91YV1,Q91YV1_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Acvrl1,Mus musculus (Mouse),502
Acvrl1,Q9CU19,Q9CU19_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment),Acvrl1,Mus musculus (Mouse),189
Adck1,Q9D0L4,ADCK1_MOUSE,reviewed,AarF domain-containing protein kinase 1 (EC 2.7.-.-),Adck1,Mus musculus (Mouse),525
Adck2,A0A0J9YUF3,A0A0J9YUF3_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 2 (Fragment),Adck2,Mus musculus (Mouse),197
Adck2,A0A0R4J1X6,A0A0R4J1X6_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 2,Adck2,Mus musculus (Mouse),617
Adck2,E9QL72,E9QL72_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 2,Adck2,Mus musculus (Mouse),568
Adck2,F6QFE9,F6QFE9_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 2 (Fragment),Adck2,Mus musculus (Mouse),118
Adck2,Q6NSR3,ADCK2_MOUSE,reviewed,Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-),Adck2,Mus musculus (Mouse),617
Adck5,E0CXE8,E0CXE8_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 5,Adck5,Mus musculus (Mouse),129
Adck5,E0CXW2,E0CXW2_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 5,Adck5,Mus musculus (Mouse),567
Adck5,E9PUK2,E9PUK2_MOUSE,unreviewed,Uncharacterized aarF domain-containing protein kinase 5,Adck5,Mus musculus (Mouse),582
Adck5,Q80V03,ADCK5_MOUSE,reviewed,Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-),Adck5,Mus musculus (Mouse),582
Adk,A0A286YCD7,A0A286YCD7_MOUSE,unreviewed,Adenosine kinase (Fragment),Adk,Mus musculus (Mouse),205
Adk,A0A286YCN3,A0A286YCN3_MOUSE,unreviewed,Adenosine kinase (Fragment),Adk,Mus musculus (Mouse),123
Adk,A0A286YD38,A0A286YD38_MOUSE,unreviewed,Adenosine kinase (Fragment),Adk,Mus musculus (Mouse),41
Adk,P55264,ADK_MOUSE,reviewed,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),Adk,Mus musculus (Mouse),361
Adk,Q3TZR1,Q3TZR1_MOUSE,unreviewed,Uncharacterized protein,Adk,Mus musculus (Mouse),64
Adk,Q8BMC5,Q8BMC5_MOUSE,unreviewed,PfkB domain-containing protein,Adk,Mus musculus (Mouse),260
Adk,Q8BWS6,Q8BWS6_MOUSE,unreviewed,PfkB domain-containing protein (Fragment),Adk,Mus musculus (Mouse),150
Agk,A0A0J9YU24,A0A0J9YU24_MOUSE,unreviewed,"Acylglycerol kinase, mitochondrial",Agk,Mus musculus (Mouse),78
Agk,Q9ESW4,AGK_MOUSE,reviewed,"Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (MuLK) (Multi-substrate lipid kinase)",Agk Mulk,Mus musculus (Mouse),421
Akt1,A4FUQ9,A4FUQ9_MOUSE,unreviewed,Akt1 protein (Fragment),Akt1,Mus musculus (Mouse),203
Akt1,D3YXX3,D3YXX3_MOUSE,unreviewed,RAC-alpha serine/threonine-protein kinase (Fragment),Akt1,Mus musculus (Mouse),202
Akt1,D3YYP9,D3YYP9_MOUSE,unreviewed,RAC-alpha serine/threonine-protein kinase (Fragment),Akt1,Mus musculus (Mouse),134
Akt1,D3Z783,D3Z783_MOUSE,unreviewed,RAC-alpha serine/threonine-protein kinase,Akt1,Mus musculus (Mouse),437
Akt1,P31750,AKT1_MOUSE,reviewed,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (AKT1 kinase) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha) (Thymoma viral proto-oncogene),Akt1 Akt Rac,Mus musculus (Mouse),480
Akt1,Q64164,Q64164_MOUSE,unreviewed,Tumor rejection antigen peptide pRLib (Fragment),Akt1 LTR-akt,Mus musculus (Mouse),52
Akt1,Q8BS26,Q8BS26_MOUSE,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),Akt1,Mus musculus (Mouse),452
Akt1,X2CUM2,X2CUM2_MOUSE,unreviewed,Akt1m protein (Fragment),Akt1,Mus musculus (Mouse),50
Akt2,D3YXM7,D3YXM7_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),222
Akt2,D3YZJ5,D3YZJ5_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),84
Akt2,D3Z0M3,D3Z0M3_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),67
Akt2,D3Z3N2,D3Z3N2_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),229
Akt2,D3Z490,D3Z490_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),98
Akt2,D3Z5X2,D3Z5X2_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase (Fragment),Akt2,Mus musculus (Mouse),63
Akt2,F8WHG5,F8WHG5_MOUSE,unreviewed,RAC-beta serine/threonine-protein kinase,Akt2,Mus musculus (Mouse),438
Akt2,Q3TY95,Q3TY95_MOUSE,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),Akt2,Mus musculus (Mouse),481
Akt2,Q60823,AKT2_MOUSE,reviewed,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),Akt2,Mus musculus (Mouse),481
Akt2,Q8CE74,Q8CE74_MOUSE,unreviewed,Uncharacterized protein (Fragment),Akt2,Mus musculus (Mouse),353
Akt3,Q6NXW0,Q6NXW0_MOUSE,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),Akt3,Mus musculus (Mouse),479
Akt3,Q8C6X4,Q8C6X4_MOUSE,unreviewed,Uncharacterized protein (Fragment),Akt3,Mus musculus (Mouse),198
Akt3,Q9WUA6,AKT3_MOUSE,reviewed,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma),Akt3,Mus musculus (Mouse),479
Alk,P97793,ALK_MOUSE,reviewed,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),Alk,Mus musculus (Mouse),1621
Alpk1,E9QNX4,E9QNX4_MOUSE,unreviewed,Alpha-protein kinase 1,Alpk1,Mus musculus (Mouse),1231
Alpk1,F6V0L2,F6V0L2_MOUSE,unreviewed,Alpha-protein kinase 1 (Fragment),Alpk1,Mus musculus (Mouse),183
Alpk1,I3PQW7,I3PQW7_MOUSE,unreviewed,ALPK1,Alpk1,Mus musculus (Mouse),1224
Alpk1,Q9CXB8,ALPK1_MOUSE,reviewed,Alpha-protein kinase 1 (EC 2.7.11.1),Alpk1 Kiaa1527,Mus musculus (Mouse),1231
Alpk2,A0A494BAB8,A0A494BAB8_MOUSE,unreviewed,Alpha-protein kinase 2 (Fragment),Alpk2,Mus musculus (Mouse),300
Alpk2,Q3U323,Q3U323_MOUSE,unreviewed,Uncharacterized protein,F730048M01Rik Alpk2,Mus musculus (Mouse),103
Alpk2,Q91ZB0,ALPK2_MOUSE,reviewed,Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase),Alpk2 Hak,Mus musculus (Mouse),2144
Alpk3,D3YUT2,D3YUT2_MOUSE,unreviewed,Alpha-protein kinase 3,Alpk3,Mus musculus (Mouse),1680
Alpk3,Q924C5,ALPK3_MOUSE,reviewed,Alpha-protein kinase 3 (EC 2.7.11.1) (Myocytic induction/differentiation originator) (Midori),Alpk3 Kiaa1330,Mus musculus (Mouse),1678
Amhr2,A0A2R8VHE2,A0A2R8VHE2_MOUSE,unreviewed,Anti-Muellerian hormone type-2 receptor (Fragment),Amhr2,Mus musculus (Mouse),61
Amhr2,A0A2R8W6H9,A0A2R8W6H9_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Amhr2,Mus musculus (Mouse),448
Amhr2,F6V9X7,F6V9X7_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment),Amhr2,Mus musculus (Mouse),190
Amhr2,Q8K592,AMHR2_MOUSE,reviewed,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),Amhr2,Mus musculus (Mouse),568
Amhr2,R4JKA2,R4JKA2_MOUSE,unreviewed,Anti-Mullerian hormone type 2 receptor delta 2 (Fragment),Amhr2,Mus musculus (Mouse),69
Amhr2,R4JNM3,R4JNM3_MOUSE,unreviewed,Anti-Mullerian hormone type 2 receptor delta 9/10 (Fragment),Amhr2,Mus musculus (Mouse),76
Ankk1,A0A1L1SS17,A0A1L1SS17_MOUSE,unreviewed,Ankyrin repeat and protein kinase domain-containing protein 1 (Fragment),Ankk1,Mus musculus (Mouse),94
Ankk1,B7ZN83,B7ZN83_MOUSE,unreviewed,Ankk1 protein,Ankk1,Mus musculus (Mouse),746
Ankk1,Q8BZ25,ANKK1_MOUSE,reviewed,Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1),Ankk1,Mus musculus (Mouse),745
Araf,B1AUN8,B1AUN8_MOUSE,unreviewed,Serine/threonine-protein kinase A-Raf (Fragment),Araf,Mus musculus (Mouse),230
Araf,B1AUP0,B1AUP0_MOUSE,unreviewed,Serine/threonine-protein kinase A-Raf (Fragment),Araf,Mus musculus (Mouse),203
Araf,E9Q0P8,E9Q0P8_MOUSE,unreviewed,Serine/threonine-protein kinase A-Raf,Araf,Mus musculus (Mouse),419
Araf,P04627,ARAF_MOUSE,reviewed,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf),Araf A-raf Araf1,Mus musculus (Mouse),604
Araf,Q3TQI2,Q3TQI2_MOUSE,unreviewed,Uncharacterized protein,Araf,Mus musculus (Mouse),357
Araf,Q3UXR0,Q3UXR0_MOUSE,unreviewed,Uncharacterized protein,Araf,Mus musculus (Mouse),357
Araf,Q66JX2,Q66JX2_MOUSE,unreviewed,Araf protein,Araf,Mus musculus (Mouse),110
Araf,Q8CAD1,Q8CAD1_MOUSE,unreviewed,Ras-binding protein DA-Raf (Serine/threonine-protein kinase A-Raf),Araf,Mus musculus (Mouse),186
Atm,B9EHX4,B9EHX4_MOUSE,unreviewed,Serine-protein kinase ATM (EC 2.7.11.1),Atm,Mus musculus (Mouse),3063
Atm,D3Z0Q2,D3Z0Q2_MOUSE,unreviewed,Serine-protein kinase ATM (Fragment),Atm,Mus musculus (Mouse),140
Atm,F6UXV2,F6UXV2_MOUSE,unreviewed,Serine-protein kinase ATM (Fragment),Atm,Mus musculus (Mouse),201
Atm,Q3UT15,Q3UT15_MOUSE,unreviewed,TAN domain-containing protein,Atm,Mus musculus (Mouse),313
Atm,Q62388,ATM_MOUSE,reviewed,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated homolog) (A-T mutated homolog),Atm,Mus musculus (Mouse),3066
Atm,Q6NX74,Q6NX74_MOUSE,unreviewed,Atm protein (Fragment),Atm,Mus musculus (Mouse),790
Atr,A0A1L1SSL9,A0A1L1SSL9_MOUSE,unreviewed,Serine/threonine-protein kinase ATR,Atr,Mus musculus (Mouse),2641
Atr,E9QPK4,E9QPK4_MOUSE,unreviewed,Serine/threonine-protein kinase ATR,Atr,Mus musculus (Mouse),2635
Atr,Q3TRL7,Q3TRL7_MOUSE,unreviewed,Uncharacterized protein,Atr,Mus musculus (Mouse),397
Atr,Q3TZM5,Q3TZM5_MOUSE,unreviewed,Uncharacterized protein,Atr,Mus musculus (Mouse),517
Atr,Q3UR12,Q3UR12_MOUSE,unreviewed,Uncharacterized protein,Atr,Mus musculus (Mouse),114
Atr,Q3UXJ0,Q3UXJ0_MOUSE,unreviewed,Uncharacterized protein,Atr,Mus musculus (Mouse),430
Atr,Q9CZ52,ANTR1_MOUSE,unreviewed,Anthrax toxin receptor 1 (Tumor endothelial marker 8),Antxr1 Atr Tem8,Mus musculus (Mouse),562
Atr,Q9JKK8,ATR_MOUSE,reviewed,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein),Atr Kiaa4069,Mus musculus (Mouse),2635
Aurka,P97477,AURKA_MOUSE,reviewed,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora family kinase 1) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A),Aurka Aik Airk Ark1 Aura Ayk1 Btak Iak1 Stk15 Stk6,Mus musculus (Mouse),395
Aurka,Q3TEY6,Q3TEY6_MOUSE,unreviewed,Protein kinase domain-containing protein,Aurka,Mus musculus (Mouse),395
Aurka,Q7TNK2,Q7TNK2_MOUSE,unreviewed,Serine/threonine protein kinase 6,Aurka,Mus musculus (Mouse),395
Aurka,Q8BP87,Q8BP87_MOUSE,unreviewed,Protein kinase domain-containing protein,Aurka Stk6,Mus musculus (Mouse),395
Aurkb,O70126,AURKB_MOUSE,reviewed,Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B),Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5,Mus musculus (Mouse),345
Aurkc,A0A140LIP1,A0A140LIP1_MOUSE,unreviewed,Aurora kinase C (Fragment),Aurkc,Mus musculus (Mouse),146
Aurkc,A0A140LJ30,A0A140LJ30_MOUSE,unreviewed,Aurora kinase C (Fragment),Aurkc,Mus musculus (Mouse),184
Aurkc,E9QL04,E9QL04_MOUSE,unreviewed,Aurora kinase C,Aurkc,Mus musculus (Mouse),315
Aurkc,O88445,AURKC_MOUSE,reviewed,Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 1) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C),Aurkc Aie1 Aik3 Airk3 Ark3 Stk13,Mus musculus (Mouse),282
Aurkc,Q497X5,Q497X5_MOUSE,unreviewed,Aurkc protein (Fragment),Aurkc,Mus musculus (Mouse),308
Aurkc,Q6P209,Q6P209_MOUSE,unreviewed,Aurora kinase C,Aurkc,Mus musculus (Mouse),276
Axl,F6YPR4,F6YPR4_MOUSE,unreviewed,Tyrosine-protein kinase receptor UFO (Fragment),Axl,Mus musculus (Mouse),188
Axl,Q00993,UFO_MOUSE,reviewed,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (Adhesion-related kinase),Axl Ark Ufo,Mus musculus (Mouse),888
Axl,Q3TTM4,Q3TTM4_MOUSE,unreviewed,Uncharacterized protein (Fragment),Axl,Mus musculus (Mouse),530
Axl,Q6PE80,Q6PE80_MOUSE,unreviewed,Axl protein (Tyrosine-protein kinase receptor UFO),Axl,Mus musculus (Mouse),879
Axl,Q8CCF8,Q8CCF8_MOUSE,unreviewed,Receptor protein-tyrosine kinase (EC 2.7.10.1),Axl,Mus musculus (Mouse),755
Bckdk,A0A0U1RNL7,A0A0U1RNL7_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),Bckdk,Mus musculus (Mouse),335
Bckdk,A0A0U1RPT4,A0A0U1RPT4_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),Bckdk,Mus musculus (Mouse),365
Bckdk,A0A0U1RQ50,A0A0U1RQ50_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment),Bckdk,Mus musculus (Mouse),180
Bckdk,A0A0U1RQ97,A0A0U1RQ97_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment),Bckdk,Mus musculus (Mouse),216
Bckdk,D3Z7R0,D3Z7R0_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment),Bckdk,Mus musculus (Mouse),214
Bckdk,O55028,BCKD_MOUSE,reviewed,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)",Bckdk,Mus musculus (Mouse),412
Bckdk,Q3UC13,Q3UC13_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),Bckdk,Mus musculus (Mouse),412
Bckdk,Q3UCB5,Q3UCB5_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),Bckdk,Mus musculus (Mouse),412
Bckdk,Q8C6H9,Q8C6H9_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-),Bckdk,Mus musculus (Mouse),412
Bckdk,Q99KP1,Q99KP1_MOUSE,unreviewed,Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment),Bckdk,Mus musculus (Mouse),309
Blk,O70337,BIK_MOUSE,unreviewed,Bcl-2-interacting killer (Apoptosis inducer NBK) (Bik-like killer protein),Bik Biklk Blk Nbk,Mus musculus (Mouse),150
Blk,P16277,BLK_MOUSE,reviewed,Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),Blk,Mus musculus (Mouse),499
Blk,Q3TAT8,Q3TAT8_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Blk,Mus musculus (Mouse),499
Bmp2k,Q3TP15,Q3TP15_MOUSE,unreviewed,BMP2K_C domain-containing protein (Fragment),Bmp2k,Mus musculus (Mouse),68
Bmp2k,Q91Z96,BMP2K_MOUSE,reviewed,BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1),Bmp2k Bike,Mus musculus (Mouse),1138
Bmpr1a,E9PW65,E9PW65_MOUSE,unreviewed,Bone morphogenetic protein receptor type-1A (Fragment),Bmpr1a,Mus musculus (Mouse),108
Bmpr1a,E9Q2G5,E9Q2G5_MOUSE,unreviewed,Bone morphogenetic protein receptor type-1A (Fragment),Bmpr1a,Mus musculus (Mouse),38
Bmpr1a,P36895,BMR1A_MOUSE,reviewed,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),Bmpr1a Acvrlk3 Bmpr,Mus musculus (Mouse),532
Bmpr1a,Q3UP52,Q3UP52_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment),Bmpr1a,Mus musculus (Mouse),209
Bmpr1a,Q53Z43,Q53Z43_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Bmpr1a,Mus musculus (Mouse),532
Bmpr1a,Q60607,Q60607_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Bmpr1a,Mus musculus (Mouse),500
Bmpr1b,B2RRZ4,B2RRZ4_MOUSE,unreviewed,Receptor protein serine/threonine kinase (EC 2.7.11.30),Bmpr1b,Mus musculus (Mouse),502
Bmpr1b,D6RET5,D6RET5_MOUSE,unreviewed,Bone morphogenetic protein receptor type-1B,Bmpr1b,Mus musculus (Mouse),58
