Kinase Family	Numbered	Gene names	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6			Reporter Intensities					
CK1	1160	Csnk1g3;Csnk1g2	90866	94423	109230	107410	86305	21216								
CK1	1623	Csnk1d	339600	320710	329560	294920	253250	58538								
CK1	1715	Csnk1e	50157	44653	50291	40010	37775	10643								
CMGC	127	Clk3	8049.5	8884.7	9407.5	10209	8554	2079								
CMGC	128	Cdk14	28642	25671	30438	25075	31465	8196.4								
CMGC	147	Srpk2	56059	61703	73444	60411	50061	11608								
CMGC	184	Srpk1	11272	12284	11857	10834	12215	3737.5								
CMGC	258	Cdk1	180490	128730	77063	57150	206450	56016								
CMGC	346	Cdk4	97358	98085	99611	93049	75609	22389								
CMGC	406	Mapk14	111330	101930	92850	90057	99521	27247								
CMGC	419	Cdk5	328630	299260	303530	282430	218040	57240								
CMGC	553	Mapk1	693020	622770	570940	507210	535880	150070								
CMGC	624	Cdk2	123500	109980	94248	71404	106040	26662								
CMGC	657	Cdk7	103210	100920	94718	78263	90371	23034								
CMGC	662	Cdk16	220720	218640	207510	204960	209620	62109								
CMGC	664	Cdk18	113460	113070	94390	86325	102380	30218								
CMGC	678	Gsk3a	141150	107270	106850	98081	112240	22130								
CMGC	725	Cdkl5	0	0	0	0	0	0								
CMGC	803	Prpf4b	3893.1	3596.4	4490.5	3612.6	3744.1	519.3								
CMGC	808	Dyrk1a;Dyrk1b	34283	32945	34012	32652	30675	7014.2								
CMGC	854	Mapk3	156250	140540	163480	138100	90736	29154								
CMGC	864	Cdk6	6833.5	6390.8	7041	6595.8	5504.6	1265.8								
CMGC	1019	Mapk15	19059	14131	11475	12818	8835.9	2457								
CMGC	1222	Cdk17	112500	127580	128390	143760	136100	47635								
CMGC	1354	Mapk8	66589	54816	50679	51243	51043	10215								
CMGC	1411	Cdk9	123930	122200	125600	116820	101490	27945								
CMGC	1762	Mapk9	180290	135970	138780	125190	173400	37930								
CMGC	1774	Gsk3b	410870	362750	421750	424570	339970	102160								
Metabolic	86	Hk2	35533	45575	52109	67566	38596	8705.8								
Metabolic	150	Chka	60487	60668	61192	52023	75395	31772								
Metabolic	169	Chkb	26423	30158	36967	31044	22054	7046.5								
Metabolic	173	Pip4k2a	4904.2	4279	5174.1	4006.9	3960.1	1207.2								
Metabolic	242	Pgk1	11233	15253	15161	14894	15638	2020.6								
Metabolic	264	Pfkl	15053	16028	16672	16435	16758	3760.6								
Metabolic	293	Hk1	0	0	0	0	0	0								
Metabolic	393	Dck	166950	148880	108090	77860	202710	54632								
Metabolic	438	Pkm	138930	160530	150660	169090	177940	44806								
Metabolic	464	Adk	223080	202410	222830	196530	124610	14877								
Metabolic	575	Pip5k1b	17298	18198	16189	17436	13113	3451.6								
Metabolic	869	Gk	0	0	0	0	0	0								
Metabolic	921	Pik3c3	7914.7	8847.5	8412.6	8789.9	7488	1877.3								
Metabolic	979	Ipmk	54266	49300	55636	46628	48630	14160								
Metabolic	1016	Pip4k2b	44978	45673	50202	41771	36560	10631								
Metabolic	1042	Pck2	37310	43896	43236	43406	50503	8644.7								
Metabolic	1225	Pdxk	238290	231990	234540	260960	243650	63781								
Metabolic	1228	Fn3krp	212790	211550	228050	216530	137580	35767								
Metabolic	1351	Pip4k2c	171050	174430	185170	154110	142020	45560								
Metabolic	1657	Fn3k	33376	34306	39598	33556	25308	4467								
Metabolic	1671	Agk	53158	60188	72650	80054	45771	9729.2								
Metabolic	1747	Galk1	19706	21950	27172	23160	18514	6766.8								
Metabolic	1802	Pikfyve	129200	125150	160730	172370	120390	21432								
NEK	433	Nek1	101320	107600	122760	115720	88925	18584								
NEK	1226	Nek9	535620	558240	624720	703040	511880	138060								
NEK	1740	Nek3	2573	2731.3	3366.6	3106.9	2447.5	385.63								
Other	151	Csnk2a2	192930	182370	168200	154450	204500	53404								
Other	189	Ikbkb	179680	180460	172200	136190	149270	21661								
Other	199	Stk16	58281	61061	60212	56074	54617	10486								
Other	364	Ttk	20059	18446	16130	11750	23827	3941.6								
Other	405	Wee1	4042.2	3849.3	3537.3	2759	7576.4	2353.1								
Other	630	Aurka	8260.3	7186	4018.5	4060.5	20590	3663.3								
Other	659	Eif2ak2	132560	132290	132150	99125	162800	36315								
Other	669	Plk1	20236	21402	27793	36235	12695	2838.3								
Other	698	Ulk3	73030	70508	68887	60834	54255	11871								
Other	709	Aak1	304510	289580	316850	336400	305340	57953								
Other	771	Chuk	21453	20596	20094	18612	26503	4610.5								
Other	775	Csnk2a1	263450	265970	250690	235240	255000	67313								
Other	928	Dstyk	60125	65299	83420	86304	53689	11622								
Other	1129	Pxk	5559.7	5462.5	5899.5	5337.6	4802	1007.7								
Other	1148	Tlk1	0	0	0	0	0	0								
Other	1183	Scyl2	4130.5	4905	4550.1	5349.2	3759.5	1203.3								
Other	1292	Pik3r4	12405	13051	15189	13369	11361	1370.3								
Other	1366	Bmp2k	223250	230890	250870	242200	219080	46087								
Other	1432	Gak	506660	486290	504790	486540	455810	103800								
Other	1470	Tp53rk	24131	23099	28581	24557	22155	5549.4								
Other	1650	Scyl1	96379	98821	104080	99145	86238	14720								
Other	1769	Tbk1	417150	381890	365560	321960	413050	57517								
STE	93	Map3k4	4207.4	3911.4	4988.1	5066.9	4941.6	571.53								
STE	105	Map2k3	79037	71919	69058	53253	47531	7724.4								
STE	156	Slk	743490	740800	755780	757490	664190	192400								
STE	161	Stk10	139080	125330	123280	110130	95153	24709								
STE	352	Map2k1	141420	142520	150370	137140	128160	23691								
STE	404	Map2k4	11334	9289.9	11460	9274.3	8307.5	1345.8								
STE	578	Map4k1	5593.5	6979.7	7733.3	6111.4	8629	1843.7								
STE	580	Map2k6	32917	32703	32954	24883	19336	4963.9								
STE	607	Tnik	103130	104000	153030	148220	83155	21816								
STE	635	Map4k4	62944	54990	68135	56009	45924	13875								
STE	726	Strada	511.71	711.49	587.09	707.16	585.94	0								
STE	750	Taok1	98911	102730	122290	115850	91268	22080								
STE	800	Map3k2	94536	97997	101830	91544	93687	24935								
STE	857	Map2k2	308300	295540	311790	280890	253270	48229								
STE	936	Taok2	42862	41189	47783	41766	32373	6085.2								
STE	1017	Map3k11	33268	32947	33038	26485	27235	7006.9								
STE	1097	Map4k5	221950	197020	228520	209090	146040	34454								
STE	1110	Pak4	184660	184050	193480	165980	141770	33119								
STE	1137	Taok3	12008	13205	15488	17077	8810.2	1524.6								
STE	1413	Map4k3	57623	50803	65134	59959	54050	17634								
STE	1425	Stk24	253950	264490	283430	260920	223480	44986								
STE	1668	Zak	13298	12461	14872	11940	12665	3178.4								
STE	1679	Stk3	546130	562610	578560	524440	571960	145020								
STE	1680	Stk4	261950	251820	239610	205230	263090	69739								
STE	1713	Mink1	0	0	0	0	0	0								
STE	1782	Map2k5	97493	97240	104960	101420	81213	17190								
STE	1817	Stk25	8518.3	8768	9188.9	7498.8	7972.2	1394.1								
TK	212	Abl1	17268	17295	19583	19991	15348	3218.4								
TK	213	EGFR	637210	304350	324590	351600	675650	184040								
TK	222	Src	404430	399100	415170	438510	457360	70711								
TK	223	Pdgfrb	78621	86252	99156	87853	55958	12167								
TK	234	Hck	139020	126380	97250	86479	171630	47482								
TK	280	Insr	455550	513190	602490	737230	398030	93684								
TK	285	Met	100470	94663	98604	89409	128820	30912								
TK	286	Fgfr1	12140	14314	14511	13749	15602	2929.2								
TK	325	Lyn	238620	246830	247020	240670	201860	46522								
TK	355	Ptk2	565340	503530	485110	488380	604440	131970								
TK	376	Fyn	94819	96780	91573	106080	143570	29957								
TK	380	Csk	371880	351650	315980	284110	268770	72439								
TK	436	Jak1	166960	163730	194810	168490	137930	25060								
TK	456	Ephb3	130940	128140	130170	119070	123280	29170								
TK	457	Ephb4	286830	274900	289970	287650	303960	69643								
TK	458	Ephb2	3098.3	3158.6	2938	3059.9	12711	4257.8								
TK	598	Fer	317060	286730	318900	297770	344190	69598								
TK	643	Axl	130980	144220	140220	132920	127040	25537								
TK	647	Egfr	20896	8966.3	10271	11623	24047	5594.5								
TK	653	Epha4	31977	34955	38977	38602	47916	9515.2								
TK	655	Epha2	386040	350350	299840	285420	770950	196890								
TK	656	Ddr1	139240	151800	147300	134980	116450	24056								
TK	663	Yes1	194070	186550	204790	205270	189360	45676								
TK	736	Abl2	81362	74413	84915	75958	73756	20263								
TK	777	Igf1r	647760	741700	815460	974220	580030	149820								
TK	779	Mertk	116730	124840	160280	167460	81509	15748								
TK	847	Ddr2	8742.2	13204	11291	9114.5	12974	3921.1								
TKL	130	Bmpr2	86308	90518	102380	100210	59390	14290								
TKL	149	Limk2	3535.5	2867.2	2590.5	2281.2	2835.7	694.62								
TKL	168	Ilk	191980	167090	166940	140360	129270	35538								
TKL	216	Araf	4418.4	4709.1	5335.6	5079.5	3686.8	1024.5								
TKL	338	Braf	64151	69116	69733	71288	61745	11219								
TKL	370	Bmpr1a	15456	17477	18583	16884	16398	2894.6								
TKL	371	Acvr1	66735	63842	58857	63317	70176	14465								
TKL	445	Limk1	17115	17610	18101	16289	18648	5130.5								
TKL	483	Ripk2	18116	20649	18532	16492	22891	8149.3								
TKL	784	Ripk1	33680	37024	44809	44008	27469	5618.6								
TKL	810	Acvr1b	2077.6	2703	3043.4	2558.4	2079.6	704.45								
TKL	844	Tgfbr2	55958	59597	63621	56834	60266	10976								
TKL	850	Irak1	4163.3	5418.5	5997.6	4632.8	4377.9	576.9								
TKL	871	Tgfbr1	70497	73705	74511	67435	64580	15674								
TKL	1283	Irak4	189720	183080	180470	159290	123690	31551								
