Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2BE28	A2BE28	4	4	4	Ribosomal biogenesis protein LAS1L	Las1l	sp|A2BE28|LAS1L_MOUSE Ribosomal biogenesis protein LAS1L OS=Mus musculus GN=Las1l PE=1 SV=1	1	4	4	4	4	4	4	7.3	7.3	7.3	89.413	776	776	0	26.627	18119	20539	18664	16082	24500	6663.6	17474	20148	19086	16780	23959	6945.4	5	5	5	5	5	5	18119	20539	18664	16082	24500	6663.6	17474	20148	19086	16780	23959	6945.4	5	5	5	5	5	5	7.3	19206000	19206000	5				10	1936;2978;3029;4453	True;True;True;True	2027;3111;3168;4654	2735;4272;4343;6447	3700;3701;5919;6022;8917	3701;5919;6022;8917		
A2BH40	A2BH40	2	2	2	AT-rich interactive domain-containing protein 1A	Arid1a	sp|A2BH40|ARI1A_MOUSE AT-rich interactive domain-containing protein 1A OS=Mus musculus GN=Arid1a PE=1 SV=1	1	2	2	2	2	2	2	1.3	1.3	1.3	242.09	2283	2283	0	12.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	2				11	6674;6824	True;True	6999;7150	9710;9919	13357;13644	13357;13644		
A3KGB4	A3KGB4	4	4	4	TBC1 domain family member 8B	Tbc1d8b	sp|A3KGB4|TBC8B_MOUSE TBC1 domain family member 8B OS=Mus musculus GN=Tbc1d8b PE=1 SV=1	1	4	4	4	4	4	4	4	4	4	127.89	1114	1114	0	23.476	16781	16164	13816	13097	19447	6333.6	16129	15992	14206	13587	19062	6496.4	6	6	6	6	6	6	16781	16164	13816	13097	19447	6333.6	16129	15992	14206	13587	19062	6496.4	6	6	6	6	6	6	4	21678000	21678000	6				12	2193;2980;5101;7625	True;True;True;True	2293;3113;5327;7990	3076;4274;7375;11099;11100;11101	4161;5921;10197;15270;15271;15272	4161;5921;10197;15270		
A6H5Z3	A6H5Z3	4	4	4	Exocyst complex component 6B	Exoc6b	sp|A6H5Z3|EXC6B_MOUSE Exocyst complex component 6B OS=Mus musculus GN=Exoc6b PE=1 SV=1	1	4	4	4	4	4	4	5.8	5.8	5.8	94.128	810	810	0	33.188	27827	28592	34910	31113	35215	10364	26780	28290	35116	32067	34771	10724	6	6	6	6	6	6	27827	28592	34910	31113	35215	10364	26780	28290	35116	32067	34771	10724	6	6	6	6	6	6	5.8	23937000	23937000	6				13	4502;5089;5390;7961	True;True;True;True	4707;5314;5664;8339	6519;7360;7838;11605;11606	9005;10176;10797;10798;15984;15985	9005;10176;10798;15985		
A8C756	A8C756	10	10	10	Thyroid adenoma-associated protein homolog	Thada	sp|A8C756|THADA_MOUSE Thyroid adenoma-associated protein homolog OS=Mus musculus GN=Thada PE=1 SV=1	1	10	10	10	10	10	10	5.1	5.1	5.1	217.29	1938	1938	0	57.219	39553	44975	34763	26591	38078	12197	38149	44047	35889	27868	37354	12528	9	9	9	9	9	9	39553	44975	34763	26591	38078	12197	38149	44047	35889	27868	37354	12528	9	9	9	9	9	9	5.1	34809000	34809000	10				14	689;1385;2655;3778;4566;4802;6418;6871;7571;7991	True;True;True;True;True;True;True;True;True;True	725;1459;2777;3952;4776;5020;6736;7198;7934;8370	985;1964;3806;5438;6616;6959;9329;9989;11011;11647	1365;2650;5257;7532;9141;9619;12833;13728;15125;16033	1365;2650;5257;7532;9141;9619;12833;13728;15125;16033		
B2RQC6;Q8C196	B2RQC6	22;1	22;1	22;1	CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase	Cad	sp|B2RQC6|PYR1_MOUSE CAD protein OS=Mus musculus GN=Cad PE=1 SV=1	2	22	22	22	22	22	22	12.5	12.5	12.5	243.24	2225	2225;1500	0	160.53	104560	110190	92153	76339	105630	38555	100680	108430	94694	79545	103870	39197	16	16	16	16	16	16	104560	110190	92153	76339	105630	38555	100680	108430	94694	79545	103870	39197	16	16	16	16	16	16	12.5	100890000	100890000	26				15	60;1451;1955;2483;2800;3090;3193;3961;4112;4137;4380;4477;4883;5107;5392;5667;6421;6769;7693;7726;7869;8335	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	62;1528;2046;2602;2929;3230;3340;4145;4301;4326;4577;4680;5103;5333;5666;5957;6739;7095;8058;8091;8242;8728	78;2090;2758;3543;3544;4003;4004;4427;4581;5710;5914;5950;5951;6300;6478;7058;7381;7840;8289;9333;9840;11189;11228;11476;11477;12169	115;2825;3730;4865;4866;5535;5536;6138;6363;7900;8154;8206;8207;8700;8952;9744;10203;10800;11430;12837;13525;15393;15444;15809;15810;16798	115;2825;3730;4865;5535;6138;6363;7900;8154;8206;8700;8952;9744;10203;10800;11430;12837;13525;15393;15444;15809;16798		
B2RRE7	B2RRE7	1	1	1	OTU domain-containing protein 4	Otud4	sp|B2RRE7|OTUD4_MOUSE OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1	1	1	1	1	1	1	1	1.1	1.1	1.1	123.05	1107	1107	0.0026064	6.6277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	1				16	2182	True	2281	3059	4140	4140		
CON__ENSEMBL:ENSBTAP00000032840;E9Q414	CON__ENSEMBL:ENSBTAP00000032840	16;1	16;1	16;1				2	16	16	16	16	16	16	21.8	21.8	21.8	92.273	825	825;4505	0	120.2	125080	118950	97009	85304	388900	151970	120190	117720	100200	96222	375120	153750	24	24	24	24	24	24	125080	118950	97009	85304	388900	151970	120190	117720	100200	96222	375120	153750	24	24	24	24	24	24	21.8	279260000	279260000	26			+	17	2241;2259;2405;2809;2930;3001;3047;3679;4481;4997;6404;6532;6624;6746;7273;8561	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2342;2361;2520;2938;3062;3134;3186;3846;4684;5221;6722;6854;6946;7072;7616;8964	3148;3174;3427;4014;4205;4300;4301;4302;4365;5293;5294;6482;7241;9314;9315;9492;9493;9639;9808;9809;10551;10552;12485	4262;4296;4693;5547;5548;5838;5962;5963;5964;5965;6051;7328;7329;8958;10012;12815;12816;13056;13057;13255;13480;13481;14478;14479;14480;17277	4262;4296;4693;5547;5838;5963;6051;7329;8958;10012;12815;13057;13255;13480;14480;17277		
CON__O43790;CON__Q14533;CON__Q61726;CON__Q6NT21;CON__P78385;CON__P78386;Q9ERE2;P97861;Q6IMF0;Q9Z2T6	CON__O43790;CON__Q14533;CON__Q61726;CON__Q6NT21;CON__P78385;CON__P78386;Q9ERE2;P97861;Q6IMF0;Q9Z2T6	3;3;2;2;2;2;2;2;2;2	2;2;1;1;1;1;1;1;1;1	2;2;1;1;1;1;1;1;1;1	Keratin, type II cuticular Hb1;Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb5	Krt81;Krt86;Krt83;Krt85	;;;;;;sp|Q9ERE2|KRT81_MOUSE Keratin, type II cuticular Hb1 OS=Mus musculus GN=Krt81 PE=2 SV=2;sp|P97861|KRT86_MOUSE Keratin, type II cuticular Hb6 OS=Mus musculus GN=Krt86 PE=2 SV=2;sp|Q6IMF0|KRT83_MOUSE Keratin, type II cuticular Hb3 OS=Mus musculus GN=Kr	10	3	2	2	3	2	2	5.3	3.9	3.9	53.5	486	486;505;479;493;493;507;481;486;495;507	0	12.745	1874.6	1934.1	3865.1	1157.1	1734.9	463.11	1804.2	1928.8	3775.5	1327.7	1697	483.58	1	1	1	1	1	1	1874.6	1934.1	3865.1	1157.1	1734.9	463.11	1804.2	1928.8	3775.5	1327.7	1697	483.58	1	1	1	1	1	1	5.3	1953100	1953100	3			+	18	619;2463;4118	True;False;True	654;2579;4307	896;3506;3507;5927;5928	1239;4803;4804;4805;4806;4807;4808;4809;8169;8170	1239;4804;8169		
CON__P00761	CON__P00761	8	8	8				1	8	8	8	8	8	8	49.8	49.8	49.8	24.409	231	231	0	201.52	1544100	1490300	1373900	1402700	1555900	536690	1484100	1475300	1406900	1435400	1539800	547950	168	168	168	168	168	167	1544100	1490300	1373900	1402700	1555900	536690	1484100	1475300	1406900	1435400	1539800	547950	168	168	168	168	168	167	49.8	138110000000	138110000000	172			+	19	562;3641;4419;4913;6315;6797;7596;7607	True;True;True;True;True;True;True;True	596;3805;3806;4618;5133;6629;7123;7959;7970	818;5207;5208;5209;5210;5211;5212;5213;5214;5215;5216;5217;5218;5219;5220;5221;5222;5223;5224;5225;5226;5227;5228;5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;5241;5242;5243;5244;6365;6366;6367;6368;6369;6370;6371;6372;6373;6374;6375;6376;6377;6378;6379;6380;6381;6382;6383;6384;6385;6386;6387;6388;6389;6390;6391;6392;6393;6394;7101;7102;7103;7104;7105;9188;9878;9879;11047;11048;11049;11050;11065;11066	1140;1141;7213;7214;7215;7216;7217;7218;7219;7220;7221;7222;7223;7224;7225;7226;7227;7228;7229;7230;7231;7232;7233;7234;7235;7236;7237;7238;7239;7240;7241;7242;7243;7244;7245;7246;7247;7248;7249;7250;7251;7252;7253;7254;7255;7256;7257;7258;7259;7260;7261;7262;7263;7264;7265;7266;7267;7268;7269;8793;8794;8795;8796;8797;8798;8799;8800;8801;8802;8803;8804;8805;8806;8807;8808;8809;8810;8811;8812;8813;8814;8815;8816;8817;8818;8819;8820;8821;8822;8823;8824;8825;8826;8827;8828;8829;8830;8831;8832;8833;8834;8835;8836;8837;8838;8839;8840;8841;8842;8843;8844;8845;8846;8847;8848;9802;9803;9804;9805;9806;9807;9808;9809;9810;9811;9812;9813;9814;9815;9816;12651;13578;13579;13580;13581;13582;13583;15179;15180;15181;15182;15183;15184;15185;15186;15187;15188;15189;15190;15191;15192;15193;15194;15195;15196;15197;15198;15199;15200;15201;15202;15203;15204;15205;15206;15207;15208;15209;15210;15211;15230;15231	1141;7218;8797;9806;12651;13582;15206;15231	0	94
CON__P01966	CON__P01966	1	1	1				1	1	1	1	1	1	1	8.5	8.5	8.5	15.184	142	142	0	6.8586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	1			+	20	2456	True	2572	3495	4785	4785		
CON__P02533;CON__Q61782	CON__P02533	30;3	26;3	3;1				2	30	26	3	30	26	3	64.6	59.3	11.9	51.621	472	472;93	0	323.31	682100	591970	554440	558830	617910	413930	654330	590050	567060	572520	617620	406690	99	99	99	99	99	99	682100	591970	554440	558830	617910	413930	654330	590050	567060	572520	617620	406690	99	99	99	99	99	99	64.6	5590300000	5590300000	101			+	21	124;394;559;657;847;875;1445;1446;1650;2236;3118;3127;3712;3845;3946;4086;4167;4168;4313;4590;5270;5379;5861;6387;7223;7304;7832;7922;8127;8373	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True;False;True	130;131;416;592;693;890;891;921;1522;1523;1734;2336;3262;3263;3272;3882;4022;4128;4274;4359;4360;4509;4800;5532;5533;5651;5652;6157;6158;6705;7561;7649;7650;7651;8205;8298;8299;8507;8508;8767	168;169;170;171;172;173;174;556;557;558;812;947;948;1191;1192;1228;1229;2083;2084;2085;2352;2353;3136;3137;4473;4474;4475;4487;4488;5343;5344;5545;5546;5690;5871;5872;5994;5995;5996;5997;6199;6644;7667;7668;7669;7670;7822;7823;7824;8544;8545;8546;8547;9294;10472;10595;10596;10597;10598;10599;11411;11557;11558;11836;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;11849;11850;11851;11852;11853;11854;11855;11856;12223	244;245;246;247;248;249;250;251;252;253;254;255;256;257;781;782;783;784;785;1128;1129;1130;1314;1315;1316;1317;1628;1629;1678;1679;1680;1681;1682;1683;1684;2817;2818;2819;2820;3168;3169;4243;4244;4245;6204;6205;6206;6207;6208;6209;6227;6228;6229;6230;7398;7399;7400;7689;7690;7691;7692;7874;8093;8094;8095;8096;8097;8098;8265;8266;8267;8268;8269;8270;8271;8272;8273;8560;8561;9173;10582;10583;10584;10585;10586;10587;10588;10778;10779;10780;10781;11761;11762;11763;11764;11765;11766;12783;12784;14361;14536;14537;14538;14539;14540;14541;14542;14543;15713;15714;15715;15716;15919;15920;16282;16283;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;16300;16301;16302;16303;16304;16305;16306;16307;16308;16309;16310;16311;16312;16313;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328;16901;16902	253;782;1129;1315;1628;1684;2819;2820;3169;4244;6205;6228;7398;7690;7874;8094;8268;8273;8561;9173;10587;10779;11764;12783;14361;14543;15714;15920;16326;16902	1;2;3;4;5;6;7;8;9;10	14;119;212;237;257;272;338;351;391;453
CON__P02535-1;P02535	CON__P02535-1;P02535	11;11	1;1	0;0	Keratin, type I cytoskeletal 10	Krt10	;sp|P02535|K1C10_MOUSE Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=1 SV=3	2	11	1	0	11	1	0	15.1	1.6	0	57.769	570	570;570	0.0050125	6.3334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1	0	0	1			+	22	399;3649;4086;4304;6100;6115;6116;6388;6389;7833;8127	False;False;False;False;False;False;False;False;False;True;False	421;3815;4274;4500;6404;6419;6420;6706;6707;8206;8507;8508	566;567;568;569;570;5256;5871;5872;6185;6186;6187;8859;8860;8861;8862;8863;8883;8884;8885;8886;8887;8888;9295;9296;11412;11836;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;11849;11850;11851;11852;11853;11854;11855;11856	796;797;798;799;800;801;802;803;804;805;806;7282;8093;8094;8095;8096;8097;8098;8537;8538;8539;8540;8541;8542;8543;12183;12184;12185;12186;12187;12188;12189;12190;12191;12192;12193;12194;12216;12217;12218;12219;12220;12221;12222;12223;12224;12225;12226;12785;12786;12787;12788;12789;15717;16282;16283;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;16300;16301;16302;16303;16304;16305;16306;16307;16308;16309;16310;16311;16312;16313;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328	797;7282;8094;8538;12189;12218;12225;12787;12789;15717;16326	10	148
CON__P02538;CON__O95678;CON__Q8VED5;Q8VED5;CON__H-INV:HIT000292931	CON__P02538	33;11;7;7;4	2;0;0;0;0	2;0;0;0;0				5	33	2	2	33	2	2	50.7	3.5	3.5	60.044	564	564;551;531;531;443	0	19.28	144910	27643	35650	29723	38795	29048	137110	34154	35738	30923	38661	28414	8	8	8	8	8	8	144910	27643	35650	29723	38795	29048	137110	34154	35738	30923	38661	28414	8	8	8	8	8	8	50.7	284720000	284720000	8			+	23	137;148;327;623;685;1358;2327;2355;2463;3023;3146;3824;4016;4136;4289;4591;5406;5408;5421;5814;5944;6030;6031;6379;6461;6631;6632;6978;8292;8347;8348;8352;8544	False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False	144;155;345;658;721;1425;1426;2435;2436;2464;2579;3159;3160;3292;4000;4201;4325;4485;4801;5680;5682;5695;6107;6244;6331;6332;6696;6782;6953;6954;7310;8683;8740;8741;8745;8947	190;191;192;193;194;209;210;455;456;904;905;980;1894;1895;1896;1897;1898;1899;3275;3276;3277;3278;3314;3315;3506;3507;4330;4331;4332;4333;4334;4512;4513;5507;5508;5777;5949;6165;6166;6645;7858;7859;7861;7862;7880;7881;7882;7883;7884;8484;8656;8772;8773;9282;9388;9650;9651;9652;10139;10140;12110;12111;12183;12184;12185;12186;12192;12463	282;283;284;285;286;287;288;289;310;311;312;639;640;641;642;1255;1256;1257;1258;1360;2541;2542;2543;2544;2545;2546;2547;2548;4438;4439;4440;4441;4442;4443;4444;4445;4505;4506;4507;4508;4509;4510;4511;4512;4803;4804;4805;4806;4807;4808;4809;6004;6005;6006;6007;6008;6009;6010;6257;6258;6259;6260;7634;7635;7636;7637;7977;7978;8203;8204;8205;8508;8509;8510;8511;9174;9175;9176;10824;10825;10827;10828;10829;10855;10856;10857;10858;10859;10860;10861;10862;11686;11909;11910;11911;11912;12071;12072;12073;12074;12764;12765;12918;13283;13284;13285;13943;13944;13945;13946;16724;16725;16726;16727;16819;16820;16821;16822;16823;16824;16825;16826;16827;16841;16842;17243	283;312;642;1255;1360;2547;4442;4511;4804;6010;6258;7635;7977;8204;8510;9175;10825;10827;10860;11686;11910;12072;12074;12765;12918;13284;13285;13943;16724;16820;16826;16841;17243	11;12;13	242;279;452
